Value,Source,DMA
Savannah GA,The Trade Desk: Metro,Savannah
Seattle-Tacoma WA,The Trade Desk: Metro,Seattle-Tacoma
Sherman TX-Ada OK,The Trade Desk: Metro,Sherman-Ada
Shreveport LA,The Trade Desk: Metro,Shreveport
Sioux City IA,The Trade Desk: Metro,Sioux City
Sioux Falls(Mitchell) SD,The Trade Desk: Metro,Sioux Falls(Mitchell)
South Bend-Elkhart IN,The Trade Desk: Metro,South Bend-Elkhart
Spokane WA,The Trade Desk: Metro,Spokane
Springfield MO,The Trade Desk: Metro,"Springfield, MO"
Springfield-Holyoke MA,The Trade Desk: Metro,Springfield-Holyoke
St. Joseph MO,The Trade Desk: Metro,St. Joseph
St. Louis MO,The Trade Desk: Metro,St. Louis
Syracuse NY,The Trade Desk: Metro,Syracuse
Tallahassee FL-Thomasville GA,The Trade Desk: Metro,Tallahassee-Thomasville
Tampa-St. Petersburg (Sarasota) FL,The Trade Desk: Metro,Tampa-St. Pete (Sarasota)
Terre Haute IN,The Trade Desk: Metro,Terre Haute
Toledo OH,The Trade Desk: Metro,Toledo
Topeka KS,The Trade Desk: Metro,Topeka
Traverse City-Cadillac MI,The Trade Desk: Metro,Traverse City-Cadillac
Tri-Cities TN-VA,The Trade Desk: Metro,"Tri-Cities, TN-VA"
Tucson (Sierra Vista) AZ,The Trade Desk: Metro,Tucson (Sierra Vista)
Tulsa OK,The Trade Desk: Metro,Tulsa
Twin Falls ID,The Trade Desk: Metro,Twin Falls
Tyler-Longview(Lufkin & Nacogdoches) TX,The Trade Desk: Metro,Tyler-Longview(Lfkn&Ncgd)
Utica NY,The Trade Desk: Metro,Utica
Victoria TX,The Trade Desk: Metro,Victoria
Waco-Temple-Bryan TX,The Trade Desk: Metro,Waco-Temple-Bryan
Washington DC (Hagerstown MD),The Trade Desk: Metro,"Washington, DC (Hagrstwn)"
Watertown NY,The Trade Desk: Metro,Watertown
Wausau-Rhinelander WI,The Trade Desk: Metro,Wausau-Rhinelander
West Palm Beach-Ft. Pierce FL,The Trade Desk: Metro,West Palm Beach-Ft. Pierce
Wheeling WV-Steubenville OH,The Trade Desk: Metro,Wheeling-Steubenville
Wichita Falls TX & Lawton OK,The Trade Desk: Metro,Wichita Falls & Lawton
Wichita-Hutchinson KS,The Trade Desk: Metro,Wichita-Hutchinson Plus
Wilkes Barre-Scranton PA,The Trade Desk: Metro,Wilkes Barre-Scranton-Hztn
Wilmington NC,The Trade Desk: Metro,Wilmington
Yakima-Pasco-Richland-Kennewick WA,The Trade Desk: Metro,Yakima-Pasco-Rchlnd-Knnwck
Youngstown OH,The Trade Desk: Metro,Youngstown
Yuma AZ-El Centro CA,The Trade Desk: Metro,Yuma-El Centro
Zanesville OH,The Trade Desk: Metro,Zanesville
